stem,output
a,uma
adzao,umadzao
afaisen,umafaisen
agang,umagang
agonias,umagonias
ang,umang
angoco,umangoco
anid,umanid
atang,umatang
aya,umaya
ayek,umayek
baP,bumaP
baranka,bumaranka
basta,bumasta
brabu,brumabu
buchachu,bumuchachu
chenchulu,chumenchulu
chilong,chumilong
chinea,chuminea
dang,dumang
dankolo,dumankolo
dankulu,dumankulu
deskarada,dumeskarada
enta,umenta
entaloP,umentaloP
esgen,umesgen
eskuela,umeskuela
espiha,umespiha
espongha,umespongha
fahan,fumahan
faisen,fumaisen
gaP,gumaP
gai,gumai
gupu,gumupu,'flew'
hahnanao,humahnanao
hallom,humallom
halom,humalom
hami,humami
hanao,humanao
hatcheng,humatcheng
hatsa,humatsa
hita,humita
hitde,humitde
homran,humomran
hugando,humugando
huyong,humuyong
itde,umitde
iya,umiya
kadu,kumadu
kahuloP,kumahuloP
kaire,kumaire
kas,kumas
kati,kumati
katpenteru,kumatpenteru
keP,kumeP
keke,kumeke
kekematai,kumekematai
kematai,kumematai
kida,kumida
konneP,kumonneP
kotgatorio,kumotgatorio
kuleka,kumuleka
layak,lumayak
liP,lumiP
liPeP,lumiPeP
liPiP,lumiPiP
liPof,lumiPof
los,lumos
lot,lumot
lulai,lumulai
mahetok,mumahetok
mamahlao,mumamahlao
maolek,mumaolek
mayaP,mumayaP
metgot,mumetgot
metgut,mumetgut
mon,mumon
mutong,mumutong
naPi,numaPi
naPlo,numaPlo
ngingeP,ngumingeP
oPmak,umoPmak
ok,umok
pada,pumada
palu,pumalu
para,pumara
payaPyaP,pumayaPyaP
peska,pumeska
planta,plumanta,'set the table'/'sets (the table) (nom. wh-agreement form)'
ra,ruma
rekla,rumekla
risibi,rumisibi
sa,suma
sablan,sumablan
sag,sumag
saga,sumaga
sai,sumai
sak,sumak
san,suman
saria,sumaria
seP,sumeP
sen,sumen
sigen,sumigen
sin,sumin
sugoP,sumugoP
taPlo,tumaPlo
tachon,tumachon
tachu,tumachu
tai,tumai
taiguenao,tumaiguenao
taiguihi,tumaiguihi
taiguini,tumaiguini
taitai,tumaitai
tates,tumates
tatte,tumatte
tayaP,tumayaP
toPlaP,tumoPlaP
tobet,tumobet
tohge,tumohge
tristi,trumisti,'sad'/'becomes sad'
tu,tumu
tungoP,tumungoP
tunok,tumunok
ugong,umugong
epanglo,umepanglo,'hunt crabs'/'to look for crabs'